ensembl_id,FANTOM_Total_CAGE_TPM,FANTOM_n_peaks
126231,6.324979675232077,3
55872,90.20872651560501,3
ENSG00000000003,66.3604424942382,9
ENSG00000000005,0.207376382794494,5
ENSG00000000419,117.78978542727279,3
ENSG00000000457,5.80653871824584,1
ENSG00000000938,0.0,14
ENSG00000000971,0.0,2
ENSG00000001036,128.0549163756004,3
ENSG00000001084,14.205282221422866,5
ENSG00000001167,25.09254231813381,4
ENSG00000001461,10.05775456553298,4
ENSG00000001497,94.35625417149495,2
ENSG00000001561,25.299918700928316,6
ENSG00000001617,1.7626992537532002,6
ENSG00000001626,0.0,8
ENSG00000001629,8.606119885971513,5
ENSG00000001630,81.39523024683908,8
ENSG00000001631,8.398743503177025,5
ENSG00000002016,10.78357190531371,5
ENSG00000002330,15.449540518189847,5
ENSG00000002549,38.0535662427897,7
ENSG00000002586,0.0,7
ENSG00000002587,0.414752765588989,8
ENSG00000002745,0.518440956986236,3
ENSG00000002746,0.207376382794494,15
ENSG00000002822,14.72372317840915,11
ENSG00000002834,66.87888345122443,12
ENSG00000002919,8.81349626876601,4
ENSG00000002933,0.0,15
ENSG00000003056,44.58592230081629,4
ENSG00000003096,9.020872651560506,12
ENSG00000003137,0.103688191397247,8
ENSG00000003147,4.562280421478877,14
ENSG00000003249,14.827411369806343,3
ENSG00000003393,13.479464881642123,4
ENSG00000003400,4.147527655889889,3
ENSG00000003402,14.516346795614602,40
ENSG00000003436,30.276951887996187,15
ENSG00000003756,27.99581167725669,3
ENSG00000003987,4.043839464492637,4
ENSG00000003989,6.532356058026567,3
ENSG00000004059,71.8559166382923,1
ENSG00000004139,96.22264161664535,11
ENSG00000004142,63.14610856092349,3
ENSG00000004399,3.110645741917414,12
ENSG00000004455,45.933868788980526,4
ENSG00000004468,0.0,4
ENSG00000004478,171.29289218825218,6
ENSG00000004487,84.50587598875642,3
ENSG00000004534,19.286003599887984,7
ENSG00000004660,3.110645741917411,4
ENSG00000004700,35.35767326646126,3
ENSG00000004776,0.0,21
ENSG00000004777,3.110645741917417,3
ENSG00000004779,140.704875726064,1
ENSG00000004799,1.659011062355954,13
ENSG00000004809,0.0,5
ENSG00000004838,0.0,2
ENSG00000004846,0.103688191397247,7
ENSG00000004848,0.0,1
ENSG00000004864,35.56504964925581,4
ENSG00000004866,29.447446356818215,14
ENSG00000004897,62.42029122114284,3
ENSG00000004939,0.0,7
ENSG00000004948,0.103688191397247,2
ENSG00000004961,16.590110623559546,2
ENSG00000004975,23.12246668158615,5
ENSG00000005007,46.6596861287612,2
ENSG00000005020,61.9018502641566,13
ENSG00000005022,292.81545250582565,3
ENSG00000005073,43.13428762125479,3
ENSG00000005075,30.0695755052017,1
ENSG00000005100,24.366724978353126,5
ENSG00000005102,0.0,5
ENSG00000005108,0.0,13
ENSG00000005156,64.18299047489596,2
ENSG00000005175,32.55809209873562,2
ENSG00000005187,1.7626992537532,4
ENSG00000005194,26.7515533804898,1
ENSG00000005206,18.2491216859155,2
ENSG00000005243,0.0,2
ENSG00000005249,16.175357857970578,8
ENSG00000005302,11.094636479505441,14
ENSG00000005339,14.205282221422847,2
ENSG00000005381,0.0,3
ENSG00000005421,0.0,5
ENSG00000005436,30.173263696598966,3
ENSG00000005448,17.730680728929237,3
ENSG00000005469,4.769656804273368,4
ENSG00000005471,1.140570105369719,3
ENSG00000005486,25.299918700928345,7
ENSG00000005513,0.207376382794494,1
ENSG00000005700,45.1043632578025,1
ENSG00000005801,29.758510931009976,2
ENSG00000005810,6.117603292437584,4
ENSG00000005812,15.242164135395319,3
ENSG00000005844,0.0,4
ENSG00000005882,34.42447954388606,3
ENSG00000005884,2.799581167725677,6
ENSG00000005889,13.997905838628366,6
ENSG00000005893,58.68751633084187,2
ENSG00000005961,0.622129148383483,6
ENSG00000005981,0.0,6
ENSG00000006007,58.2727635652529,3
ENSG00000006016,4.04383946449264,2
ENSG00000006025,4.56228042147888,2
ENSG00000006042,18.87125083429902,5
ENSG00000006062,7.05079701501281,1
ENSG00000006071,1.6590110623559569,3
ENSG00000006116,0.0,8
ENSG00000006118,9.643001799943987,4
ENSG00000006125,103.37712682305543,6
ENSG00000006128,2.48851659353393,6
ENSG00000006194,11.509389245094438,4
ENSG00000006210,0.103688191397247,4
ENSG00000006282,19.1823154084907,4
ENSG00000006283,0.103688191397247,3
ENSG00000006327,18.352809877312726,3
ENSG00000006377,7.8803025461907765,9
ENSG00000006432,1.2442582967669642,2
ENSG00000006451,45.31173964059705,9
ENSG00000006453,35.97980241484473,7
ENSG00000006468,7.258173397807303,20
ENSG00000006530,6.22129148383483,1
ENSG00000006534,0.207376382794494,4
ENSG00000006555,0.0,5
ENSG00000006576,18.87125083429898,6
ENSG00000006606,0.103688191397247,1
ENSG00000006607,12.33889477627239,5
ENSG00000006611,0.207376382794494,10
ENSG00000006625,49.3555791050897,3
ENSG00000006634,38.05356624278974,4
ENSG00000006638,2.695892976328432,3
ENSG00000006652,59.93177462760887,6
ENSG00000006659,0.0,4
ENSG00000006695,6.01391510104034,1
ENSG00000006704,7.77661435479353,4
ENSG00000006712,117.99716181006728,4
ENSG00000006715,33.0765330557218,2
ENSG00000006740,7.05079701501281,2
ENSG00000006744,99.33328735856276,6
ENSG00000006747,1.86638744515045,5
ENSG00000006756,0.0,3
ENSG00000006757,10.057754565532967,3
